ISO 3 code,Country,WHO Region,GAVI eligible country (2015),Measles/Rubella 68 priority,Vaccine in schedule (as of 31 December 2015),Year of introduction in entire country,Year of introduction in part of the country
AFG,Afghanistan,EMRO,Yes,yes,Yes,2004.0,n/a
ALB,Albania,EURO,No,no,Yes,2001.0,n/a
DZA,Algeria,AFRO,No,no,Yes,1997.0,1997.0
AND,Andorra,EURO,No,no,Yes,1991.0,n/a
AGO,Angola,AFRO,No,yes,Yes,2015.0,n/a
ATG,Antigua and Barbuda,AMRO,No,no,Yes,1997.0,n/a
ARG,Argentina,AMRO,No,no,Yes,1998.0,n/a
ARM,Armenia,EURO,No,no,Yes,1986.0,n/a
AUS,Australia,WPRO,No,no,Yes,1994.0,n/a
AUT,Austria,EURO,No,no,Yes,1973.0,n/a
AZE,Azerbaijan,EURO,No,no,Yes,2001.0,n/a
BHS,Bahamas (the),AMRO,No,no,Yes,2001.0,n/a
BHR,Bahrain,EMRO,No,no,Yes,prior to 1995,1985.0
BGD,Bangladesh,SEARO,Yes,yes,Yes,2012.0,n/a
BRB,Barbados,AMRO,No,no,Yes,1997.0,n/a
BLR,Belarus,EURO,No,no,Yes,1987.0,n/a
BEL,Belgium,EURO,No,no,Yes,1994.0,n/a
BLZ,Belize,AMRO,No,no,Yes,2005.0,n/a
BEN,Benin,AFRO,Yes,yes,No,n/a,n/a
BTN,Bhutan,SEARO,No,no,Yes,2006.0,n/a
BOL,Bolivia (Plurinational State of),AMRO,No,yes,No,n/a,n/a
BIH,Bosnia and Herzegovina,EURO,No,no,Yes,1971.0,n/a
BWA,Botswana,AFRO,No,no,Yes,2011.0,n/a
BRA,Brazil,AMRO,No,no,Yes,2004.0,1992.0
BRN,Brunei Darussalam,WPRO,No,no,Yes,1988.0,n/a
BGR,Bulgaria,EURO,No,no,Yes,1983.0,n/a
BFA,Burkina Faso,AFRO,Yes,yes,Yes,2014.0,n/a
BDI,Burundi,AFRO,Yes,yes,Yes,2013.0,n/a
KHM,Cambodia,WPRO,Yes,yes,Yes,2012.0,n/a
CMR,Cameroon,AFRO,Yes,yes,No,n/a,n/a
CAN,Canada,AMRO,No,no,Yes,1997.0,1996.0
CPV,Cabo Verde,AFRO,No,no,Yes,2010.0,n/a
CAF,Central African Republic (the),AFRO,Yes,yes,No,n/a,n/a
TCD,Chad,AFRO,Yes,yes,No,n/a,n/a
CHL,Chile,AMRO,No,no,Yes,1992.0,n/a
CHN,China,WPRO,No,no,Yes,1986.0,n/a
COL,Colombia,AMRO,No,no,Yes,1997.0,n/a
COM,Comoros (the),AFRO,Yes,yes,No,2017.0,n/a
COG,Congo (the),AFRO,No,yes,No,n/a,n/a
COK,Cook Islands,WPRO,No,no,Yes,1982.0,1982.0
CRI,Costa Rica,AMRO,No,no,Yes,1992.0,n/a
CIV,Côte d'Ivoire,AFRO,Yes,yes,No,n/a,n/a
HRV,Croatia,EURO,No,no,Yes,1968.0,n/a
CUB,Cuba,AMRO,No,no,Yes,2004.0,n/a
CYP,Cyprus,EURO,No,no,Yes,1989.0,n/a
CZE,Czech Republic (the),EURO,No,no,Yes,1975.0,n/a
PRK,Democratic People’s Republic of Korea (the),SEARO,Yes,yes,Yes,2008.0,n/a
COD,Democratic Republic of the Congo (the),AFRO,Yes,yes,No,n/a,n/a
DNK,Denmark,EURO,No,no,Yes,1987.0,n/a
DJI,Djibouti,EMRO,Yes,yes,Yes,2011.0,n/a
DMA,Dominica,AMRO,No,no,Yes,2001.0,n/a
DOM,Dominican Republic (the),AMRO,No,no,No,n/a,n/a
ECU,Ecuador,AMRO,No,no,Yes,2009.0,n/a
EGY,Egypt,EMRO,No,no,Yes,1999.0,n/a
SLV,El Salvador,AMRO,No,no,Yes,2000.0,n/a
GNQ,Equatorial Guinea,AFRO,No,no,No,n/a,n/a
ERI,Eritrea,AFRO,Yes,yes,Yes,2012.0,n/a
EST,Estonia,EURO,No,no,Yes,1994.0,n/a
ETH,Ethiopia,AFRO,Yes,yes,No,n/a,n/a
FJI,Fiji,WPRO,No,no,Yes,2003.0,n/a
FIN,Finland,EURO,No,no,Yes,1982.0,n/a
FRA,France,EURO,No,no,Yes,1996.0,n/a
GAB,Gabon,AFRO,No,no,No,n/a,n/a
GMB,Gambia (the),AFRO,Yes,yes,Yes,2012.0,n/a
GEO,Georgia,EURO,No,no,Yes,1997.0,n/a
DEU,Germany,EURO,No,no,Yes,1991.0,1986.0
GHA,Ghana,AFRO,Yes,yes,Yes,2012.0,n/a
GRC,Greece,EURO,No,no,Yes,prior to 1995,n/a
