code,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
MAR,0,0,0,0,,,0,0,0,0,0,,
AGO,3,0,3,2,0,0,0,0,0,0,1,1,2
AFG,0,3,0,0,0,0,0,0,2,0,2,2,0
ALB,,0,0,0,0,0,0,0,0,0,0,0,0
AND,0,0,,,,,,,,,,,
ARE,0,0,,,,,,0,,,0,0,0
ARG,0,0,,0,3,0,0,0,0,,0,0,
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,,,0,,,,,,,,,,
AUS,,,,,,,,,0,,,,
AUT,,,,,,,,,,,,,
AZE,0,0,0,0,0,0,2,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,1,3,2
BEL,,,,,,,,,,,,0,
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,3,0,1,0,1,1,0,0,0,1,0,0,2
BGD,3,0,0,0,0,0,0,0,0,0,0,0,0
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0
BHR,3,0,0,0,0,0,3,0,0,0,0,0,0
BHS,,,,,0,,,,,,,,
BIH,0,0,,3,2,0,0,0,0,2,0,0,2
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,0,0,0,0,3,3,0,0,2,3,0,0,0
BOL,0,0,0,,0,0,2,3,0,3,0,3,0
BRA,3,3,0,0,0,,,0,0,,0,,0
BRB,0,0,,,0,0,0,0,0,0,,0,
BRN,0,0,,0,2,0,,,,,0,0,2
BTN,0,0,0,3,0,0,0,0,2,0,0,0,0
BWA,,0,2,,3,1,1,3,1,0,0,1,0
CAF,3,0,0,,0,2,0,0,0,1,0,1,2
CAN,,,,,,,,,,,0,0,
CHE,2,,,,,,,,,,,,0
CHL,2,0,0,0,3,0,0,0,0,0,0,0,
CHN,,,,,,,,,,,,0,
CIV,3,3,3,0,1,2,3,0,0,3,3,3,0
CMR,1,0,3,0,3,0,1,0,1,1,1,0,0
COD,3,3,3,1,3,1,1,1,1,1,1,1,0
COG,3,1,0,0,1,3,0,0,0,0,0,3,0
COK,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,0,0,0,0,0,0,2,0,0
COM,0,0,2,0,0,0,2,0,0,0,0,2,2
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,,0,0,,,0,3,0,,,,0,0
CUB,0,0,0,0,0,,0,0,0,0,0,0,0
CYP,,0,,,,,0,,,,,,0
CZE,2,,,,,,0,0,0,0,0,0,0
DEU,,,,,,,,,,,,,
DJI,0,0,0,0,0,0,0,0,0,0,2,0,
DMA,0,0,0,0,0,0,0,0,2,0,,0,
DNK,,,,,,,,,,0,,,
DOM,,0,,,0,0,2,,,,0,0,0
DZA,0,0,0,0,,0,0,0,0,0,0,0,0
ECU,0,0,0,0,0,2,,0,0,,0,0,
EGY,0,0,0,0,3,0,0,0,0,0,,,0
ERI,0,0,0,1,0,0,0,0,0,0,0,0,0
ESP,,,,,,,,,,0,,,
EST,,0,0,2,2,2,0,2,,0,3,0,0
ETH,0,3,0,2,0,0,0,2,0,0,0,0,2
FIN,0,,0,0,0,0,,,,,0,0,0
FJI,0,0,0,0,0,0,0,0,0,0,0,,0
