code,value,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
MAR,0,0,0,0,0,,,0,0,0,0
AGO,3,3,0,3,2,0,0,0,0,0,0
AFG,2,0,3,0,0,0,0,0,0,2,0
ALB,0,,0,0,0,0,0,0,0,0,0
AND,0,0,0,,,,,,,,
ARE,0,0,0,,,,,,0,,
ARG,1,0,0,,0,3,0,0,0,0,
ARM,0,0,0,0,0,0,0,0,0,0,0
ATG,0,,,0,,,,,,,
AUS,0,,,,,,,,,0,
AUT,0,,,,,,,,,,
AZE,1,0,0,0,0,0,0,2,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0
BEL,0,,,,,,,,,,
BEN,0,0,0,0,0,0,0,0,0,0,0
BFA,1,3,0,1,0,1,1,0,0,0,1
BGD,1,3,0,0,0,0,0,0,0,0,0
BGR,0,0,0,0,0,0,0,0,0,0,0
BHR,2,3,0,0,0,0,0,3,0,0,0
BHS,0,,,,,0,,,,,
BIH,3,0,0,,3,2,0,0,0,0,2
BLR,0,0,0,0,0,0,0,0,0,0,0
BLZ,4,0,0,0,0,3,3,0,0,2,3
BOL,3,0,0,0,,0,0,2,3,0,3
BRA,2,3,3,0,0,0,,,0,0,
BRB,0,0,0,,,0,0,0,0,0,0
BRN,1,0,0,,0,2,0,,,,
BTN,2,0,0,0,3,0,0,0,0,2,0
BWA,3,,0,2,,3,1,1,3,1,0
CAF,2,3,0,0,,0,2,0,0,0,1
CAN,0,,,,,,,,,,
CHE,1,2,,,,,,,,,
CHL,2,2,0,0,0,3,0,0,0,0,0
CHN,0,,,,,,,,,,
CIV,6,3,3,3,0,1,2,3,0,0,3
CMR,2,1,0,3,0,3,0,1,0,1,1
COD,4,3,3,3,1,3,1,1,1,1,1
COG,2,3,1,0,0,1,3,0,0,0,0
COK,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,0,0,0,0,0,0,0
COM,2,0,0,2,0,0,0,2,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0
CRI,1,,0,0,,,0,3,0,,
CUB,0,0,0,0,0,0,,0,0,0,0
CYP,0,,0,,,,,0,,,
CZE,1,2,,,,,,0,0,0,0
DEU,0,,,,,,,,,,
DJI,0,0,0,0,0,0,0,0,0,0,0
DMA,1,0,0,0,0,0,0,0,0,2,0
DNK,0,,,,,,,,,,0
DOM,1,,0,,,0,0,2,,,
DZA,0,0,0,0,0,,0,0,0,0,0
ECU,1,0,0,0,0,0,2,,0,0,
EGY,1,0,0,0,0,3,0,0,0,0,0
ERI,0,0,0,0,1,0,0,0,0,0,0
ESP,0,,,,,,,,,,0
EST,4,,0,0,2,2,2,0,2,,0
ETH,3,0,3,0,2,0,0,0,2,0,0
FIN,0,0,,0,0,0,0,,,,
FJI,0,0,0,0,0,0,0,0,0,0,0
