code,survey year,Female sterilization,Male sterilization,IUD,Implant,Injectable,Pill,Male condom,Female condom,Vaginal barrier methods,Lactational amenorrhea method (LAM),Emergency contraception,Other modern methods,Any traditional method,note
CAN,2006,8.23529411765,8.70588235294,5.05882352941,0.117647058824,2.82352941176,51.4117647059,63.8823529412,0.352941176471,4.35294117647,0,2,2.11764705882,20.7058823529,"En este caso, algunos métodos se utilizan combinados con otros."
GBR,2009,9.52380952381,25,11.9047619048,1.19047619048,2.38095238095,33.3333333333,32.1428571429,1.19047619048,1.19047619048,0,0,1.19047619048,9.52380952381,"En este caso, algunos métodos se utilizan combinados con otros."
BWA,2008,3.97727272727,0.189393939394,1.51515151515,0,12.8787878788,11.553030303,78.9772727273,0,1.13636363636,0,0,0,4.92424242424,"En este caso, algunos métodos se utilizan combinados con otros."
IRL,2005,0,0,12.962962963,0,0,26.5432098765,35.9567901235,0,0.154320987654,0,0.154320987654,18.9814814815,8.33333333333,"En este caso, algunos métodos se utilizan combinados con otros."
IRN,2011,18.34625323,3.61757105943,10.4651162791,0,4.52196382429,19.3798449612,17.8294573643,0,0,0,0.129198966408,0.129198966408,28.0361757106,
GIN,2012,1.78571428571,0,3.57142857143,1.78571428571,23.2142857143,21.4285714286,8.92857142857,0,0,23.2142857143,0,0,17.8571428571,
NGA,2016,1.96078431373,0,3.43137254902,16.1764705882,27.4509803922,13.2352941176,12.7450980392,0,0.490196078431,2.45098039216,1.96078431373,0,21.568627451,
MRT,2015,0.561797752809,0,1.68539325843,4.49438202247,20.2247191011,60.1123595506,1.12359550562,0,0,0.561797752809,0,0,12.3595505618,
BDI,2012,0.946372239748,0.315457413249,10.094637224,12.61829653,58.9905362776,9.14826498423,2.20820189274,0.315457413249,0,0.946372239748,0,0,5.36277602524,
#N/A,2003,6.04651162791,0,6.04651162791,0,3.95348837209,40.9302325581,34.8837209302,0,0.93023255814,0,0,2.09302325581,6.04651162791,
GNB,2014,1.25,0,21875,20625,8.75,9375,9375,1.25,3125,15,0,0,10,
CIV,2012,0.549450549451,0,0.549450549451,1.0989010989,13.1868131868,39.010989011,9.89010989011,0,0,3.2967032967,0,1.64835164835,31.3186813187,
ETH,2016,0.765306122449,0,2.04081632653,22.9591836735,61.4795918367,7.14285714286,0.510204081633,0,0,0.765306122449,0,0,4.84693877551,
LBR,2013,1.48514851485,0,0,10.396039604,55.4455445545,24.7524752475,1.9801980198,0,0,0,0,0.990099009901,5.44554455446,
SEN,2015,1.71673819742,0,4.72103004292,22.3175965665,36.0515021459,21.8884120172,3.86266094421,0,0,0.429184549356,0,0,9.44206008584,
BFA,2016,0,0,2.35294117647,44.7058823529,32.5490196078,10.9803921569,3.92156862745,0,0,0.392156862745,0.392156862745,0,5.09803921569,
KWT,1999,7.88461538462,0,16.9230769231,0,0,45,5.57692307692,0,0.192307692308,0,0,0,24.8076923077,
WSM,2014,26.3940520446,0,1.48698884758,0.371747211896,38.6617100372,21.9330855019,0.743494423792,0,0,0.743494423792,0,0,10.0371747212,
NAM,2013,11.4081996435,0.534759358289,2.13903743316,0.356506238859,47.7718360071,12.4777183601,21.3903743316,0.891265597148,0,0.17825311943,0,1.7825311943,1.42602495544,
GAB,2012,1.92926045016,0,0,0,1.28617363344,18.3279742765,38.5852090032,0,0,0,0,2.57234726688,37.6205787781,
PAN,2013,39.8089171975,0.796178343949,3.82165605096,0.31847133758,25.9554140127,18.152866242,5.89171974522,0,0.955414012739,0.31847133758,0,0,4.29936305732,
DEU,2005,12.5377643505,3.6253776435,8.91238670695,0.453172205438,1.05740181269,56.1933534743,9.36555891239,0,0.755287009063,0,0.302114803625,0,7.0996978852,
KEN,2015,4.07239819005,0,7.23981900452,24.2835595777,44.0422322775,11.4630467572,1.80995475113,0,0.452488687783,0.301659125189,1.05580693816,0,5.58069381599,
MDV,2009,29.1066282421,1.4409221902,2.30547550432,1.4409221902,3.45821325648,13.2564841499,26.8011527378,0,0,0,0,0,22.4783861671,
PAK,2013,24.5762711864,0.847457627119,6.49717514124,0,7.90960451977,4.5197740113,24.8587570621,0,0,4.23728813559,0,0.564971751412,26.2711864407,
TZA,2016,8.85416666667,0.260416666667,2.34375,17.4479166667,32.8125,14.3229166667,6.25,0,0,1.30208333333,0,0,16.6666666667,
ZMB,2014,3.87755102041,0,2.44897959184,11.2244897959,39.387755102,24.0816326531,8.16326530612,0.204081632653,0,1.63265306122,0,0.204081632653,8.97959183673,
NPL,2014,36.2903225806,9.47580645161,3.42741935484,2.62096774194,26.2096774194,9.47580645161,7.45967741935,0,0.201612903226,0,0,0,5.04032258065,
LAO,2012,9.23694779116,0,3.21285140562,0.200803212851,27.3092369478,42.5702811245,2.20883534137,0,0,1.20481927711,0,0,14.2570281124,
TKM,2016,0.597609561753,0.199203187251,87.6494023904,0,0.597609561753,1.99203187251,2.98804780876,0,0,0,0,0,6.17529880478,
IRQ,2011,5.90476190476,0,17.9047619048,0.190476190476,5.90476190476,30.0952380952,3.42857142857,0.190476190476,0.761904761905,4.38095238095,0,0,31.4285714286,
KAZ,2015,3.05206463196,0,57.2710951526,0,0.179533213645,10.9515260323,22.4416517056,0.179533213645,0.179533213645,2.15439856373,0,0,3.77019748654,
BRB,2012,7.93918918919,0.168918918919,5.23648648649,1.35135135135,8.44594594595,35.8108108108,32.9391891892,0.844594594595,0.844594594595,0.168918918919,0,0,6.41891891892,
IDN,2015,0,0,7.85597381342,7.69230769231,51.2274959083,21.9312602291,0,0,0,0,0,8.8379705401,2.61865793781,
LTU,2006,3.3386327504,0.476947535771,15.2623211447,0.158982511924,0,28.6168521463,30.8426073132,0,1.27186009539,0,0.317965023847,0,19.8728139905,
BLR,2012,5.07131537242,0,23.9302694136,0.158478605388,0.158478605388,16.323296355,35.3407290016,0.158478605388,0.158478605388,1.26782884311,0,0,17.5911251981,
EST,2005,0.157728706625,0,33.9116719243,0,0,29.9684542587,21.2933753943,0,1.10410094637,0,4.25867507886,0.788643533123,8.67507886435,
ESP,2006,8.52359208524,12.0243531202,9.74124809741,0,0.304414003044,26.1796042618,37.7473363775,0,0.304414003044,0,0,0,5.32724505327,
