name,code,region,sub-region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afganistán,AFG,Asia,Southern Asia,,,,,,,,,,,,,,,,,,,,,,,,,210,250,270,330,360,460,500,560,670,670,630,590,580
Albania,ALB,Europe,Southern Europe,,,,,,,720,760,760,790,680,420,300,320,400,660,920,830,900,1010,1170,1330,1410,1690,2150,2670,3090,3480,4050,4280,4360,4390,4360,4480,4450,4300,4250
Argelia,DZA,Africa,Northern Africa,2010,2220,2280,2210,2260,2390,2590,2810,2750,2540,2360,1990,1890,1720,1610,1550,1510,1500,1530,1530,1590,1660,1720,1920,2240,2700,3090,3580,4200,4270,4460,4580,5140,5480,5470,4820,4270
Andorra,AND,Europe,Southern Europe,12550,12420,10780,8890,8050,7640,8700,11020,14070,15360,16880,18260,20150,18740,17890,17840,18970,20130,19340,19190,19930,21140,22910,27750,34530,41240,44000,45420,44670,44710,41650,39890,39460,40650,,,
Angola,AGO,Africa,Middle Africa,,,,,,,,690,690,480,500,770,400,260,160,270,320,400,390,330,360,390,470,570,810,1070,1490,2160,2760,3190,3240,3390,3820,4350,4470,4070,3440
Antigua y Barbuda,ATG,Americas,Caribbean,1830,2060,2110,2320,2770,3200,3560,4440,5560,6000,6390,6810,7030,7480,7920,7590,8070,8370,8500,8770,9170,8880,8720,9510,10350,11240,12550,13770,13980,12500,11760,11520,11940,12050,12460,12800,13400
Argentina,ARG,Americas,South America,2940,2810,2570,2800,2820,2650,3010,3600,3900,2910,3170,3950,6280,7070,7540,7330,7700,8110,7990,7540,7440,6960,3930,3550,3560,4600,5450,6470,7610,7730,9170,10610,11790,12770,12260,12430,11960
Armenia,ARM,Asia,Western Asia,,,,,,,,,,,,,310,330,400,460,520,560,590,610,660,710,800,960,1170,1540,2020,2760,3600,3330,3470,3530,3880,4120,4150,4020,3760
Aruba,ABW,Americas,Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Oceania,Australia and New Zealand,10840,11880,12090,11600,12050,12030,12330,12570,14140,15610,17350,18250,18560,18930,18890,19320,20520,21980,21790,21460,21130,20130,19980,21130,25520,30340,34170,37340,42390,44040,46560,50150,59840,65640,64860,60330,54420
