code,name,vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFG,Afghanistan,MCV2,60,60,56,54,48,46,40,39,16,26,13,2,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,MCV2,,98,99,99,99,99,98,98,95,94,97,96,93,93,90,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,MCV2,99,99,93,95,96,95,98,96,95,98,94,94,96,93,73,,83,,,,,,,,,,,,,,,,,,,
AND,Andorra,MCV2,88,90,91,89,82,86,82,86,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,MCV2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,MCV2,,99,87,90,89,,94,83,78,68,46,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,Argentina,MCV2,87,96,99,89,91,94,96,88,84,91,88,93,80,83,56,56,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,MCV2,97,97,97,97,98,97,96,94,93,85,92,94,93,62,96,94,92,,,,,,,,,,,,,,,,,,,
AUS,Australia,MCV2,93,93,92,91,90,88,83,80,87,,85,85,84,94,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,MCV2,,87,,,,,64,62,56,61,91,47,46,39,34,35,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,MCV2,98,98,98,98,98,98,96,97,97,95,98,98,97,98,96,,,,,,,,,,,,,,,,,,,,,
BHS,Bahamas (the),MCV2,76,72,69,73,79,47,76,,,88,88,95,,,,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,MCV2,99,99,99,99,98,98,99,97,99,99,99,99,99,97,99,92,98,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,MCV2,70,70,99,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,MCV2,89,91,89,90,94,96,97,97,75,94,98,99,,,12,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,MCV2,99,98,99,97,99,99,99,99,99,95,98,99,98,99,97,92,99,,,,,,,,,,,,,,,,,,,
BEL,Belgium,MCV2,85,85,85,85,83,83,83,81,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,
