code,name,vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFG,Afghanistan,Pol3,97,90,90,87,82,66,63,64,63,58,58,50,41,36,35,24,27,28,28,31,,8,18,,23,25,33,35,25,11,15,16,,5,3,3
ALB,Albania,Pol3,,98,99,99,99,99,98,99,99,97,97,98,97,98,97,97,97,97,99,99,98,98,98,97,82,,96,96,94,94,94,92,92,,92,
DZA,Algeria,Pol3,95,95,95,95,95,95,,92,95,95,88,86,87,86,89,,83,80,79,77,83,75,73,78,82,81,81,,66,,,,,,30,
AND,Andorra,Pol3,97,97,97,99,99,99,99,99,96,93,98,99,99,95,95,95,95,90,90,,,,,,,,,,,,,,,,,
AGO,Angola,Pol3,83,81,80,88,85,92,73,75,83,44,46,57,45,42,44,33,21,45,38,26,41,28,28,21,26,23,19,13,16,,,,,,,
ATG,Antigua and Barbuda,Pol3,86,96,98,97,99,99,98,99,98,99,98,97,99,93,99,96,99,99,99,99,99,99,99,99,97,99,99,99,99,96,99,93,99,86,47,36
ARG,Argentina,Pol3,93,92,90,90,93,95,97,94,92,92,95,91,95,94,85,88,91,90,92,90,90,85,82,85,86,90,86,90,85,79,73,72,79,48,40,33
ARM,Armenia,Pol3,96,95,96,96,96,96,94,91,90,87,92,93,96,96,97,96,97,96,95,97,93,92,92,92,92,93,,,,,,,,,,
AUS,Australia,Pol3,93,92,91,92,92,92,92,92,92,92,92,92,93,92,91,90,88,83,77,86,86,,,,,72,,,,,,,94,,,17
AUT,Austria,Pol3,,98,,,,,83,83,85,83,86,83,84,82,83,71,,,95,95,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,
AZE,Azerbaijan,Pol3,98,97,96,96,98,96,96,98,97,97,97,97,99,99,99,98,99,98,98,97,96,93,94,88,93,90,,,,,,,,,,
BHS,Bahamas (the),Pol3,95,96,97,99,97,97,97,93,95,94,93,92,93,93,98,91,82,88,86,85,86,91,91,92,91,82,82,84,76,81,84,69,65,67,53,35
BHR,Bahrain,Pol3,98,98,99,99,99,99,97,97,97,98,98,98,97,98,99,97,97,98,98,96,95,96,94,94,99,94,96,96,88,80,64,83,,65,59,92
BGD,Bangladesh,Pol3,93,93,92,95,95,94,94,93,93,92,84,96,72,70,66,68,66,78,98,98,92,95,91,98,84,69,49,16,8,4,2,1,1,1,,
BRB,Barbados,Pol3,97,95,91,88,91,90,93,85,93,85,91,93,90,86,93,86,86,93,96,85,93,91,88,89,84,90,80,73,68,80,88,77,62,63,54,99
BLR,Belarus,Pol3,99,97,98,98,99,99,99,98,90,97,98,99,90,99,99,99,99,99,98,98,96,92,91,90,90,90,90,87,86,84,83,82,82,83,81,80
BEL,Belgium,Pol3,99,99,99,99,98,98,98,99,99,99,97,96,96,96,96,96,,,,94,92,,94,,93,95,95,95,97,99,,95,90,90,99,
BLZ,Belize,Pol3,94,95,95,98,95,96,98,94,97,98,96,97,95,93,96,91,84,87,85,85,83,84,86,89,80,86,74,63,58,84,61,61,61,65,54,44
BEN,Benin,Pol3,82,90,93,85,99,98,98,94,97,93,93,89,88,93,84,88,90,81,78,80,89,86,77,79,68,78,48,30,25,17,16,,,,,
BTN,Bhutan,Pol3,98,98,97,97,95,95,96,96,93,96,95,90,96,89,88,98,89,85,87,86,86,84,77,71,95,84,76,77,63,54,52,52,14,10,11,4
BOL,Bolivia (Plurinational State of),Pol3,88,85,80,79,82,80,84,82,82,82,84,84,94,99,90,89,89,75,78,82,90,85,83,84,67,50,49,40,28,31,30,46,10,12,13,14
BIH,Bosnia and Herzegovina,Pol3,74,86,,87,89,91,90,92,95,91,95,87,,92,92,87,90,89,80,,69,69,45,65,93,,,,,,,,,,,
BWA,Botswana,Pol3,74,86,86,98,99,99,83,99,85,99,99,88,91,85,75,85,72,73,80,81,80,78,57,58,50,53,54,51,47,61,67,68,69,70,72,
BRA,Brazil,Pol3,98,96,99,96,99,99,99,99,99,99,99,99,99,99,99,99,99,95,89,80,79,70,64,65,67,58,54,57,53,51,52,55,55,51,39,69
BRN,Brunei Darussalam,Pol3,99,99,99,90,99,99,99,99,95,99,99,92,99,99,99,99,97,98,99,,,,99,95,,99,,,,86,88,94,90,99,,89
BGR,Bulgaria,Pol3,91,88,95,95,95,94,94,96,95,96,97,94,96,94,94,94,97,96,96,95,97,94,97,99,81,99,99,99,99,99,99,99,98,99,99,99
BFA,Burkina Faso,Pol3,91,91,89,90,90,90,99,99,99,94,94,83,83,69,68,57,34,40,70,48,47,41,47,39,,,,23,34,21,,,,,2,
BDI,Burundi,Pol3,94,95,96,96,99,94,96,89,93,88,82,76,91,86,56,69,59,51,60,52,62,49,64,81,89,97,86,70,71,54,58,21,35,43,39,
CPV,Cabo Verde,Pol3,93,95,93,94,90,99,74,82,81,72,72,76,87,94,77,86,70,79,77,73,73,,99,99,99,87,99,85,87,60,39,,,,,
KHM,Cambodia,Pol3,98,98,77,95,94,92,95,91,82,80,82,86,69,54,59,62,65,64,70,76,80,54,36,32,39,38,48,45,57,,,,,,,
CMR,Cameroon,Pol3,83,86,88,85,80,83,79,82,81,78,79,72,72,63,43,49,48,48,47,43,46,36,34,37,33,34,,19,,,,26,25,,5,
CAN,Canada,Pol3,91,,91,99,87,83,83,80,90,95,,91,88,88,,,,90,86,90,87,89,90,,,,,,85,,,,,,,
CAF,Central African Republic (the),Pol3,46,50,28,55,67,58,76,56,83,91,53,49,26,13,22,31,33,47,51,53,50,40,,30,65,57,43,30,18,19,20,17,16,14,11,13
TCD,Chad,Pol3,89,81,80,73,67,75,68,41,66,73,57,47,48,40,24,29,34,24,24,20,18,18,12,10,18,16,19,12,13,,,,,,,
CHL,Chile,Pol3,96,95,90,90,93,92,94,95,95,94,92,94,96,97,96,91,95,90,90,91,94,94,90,90,94,95,95,96,93,90,99,99,89,99,99,93
CHN,China,Pol3,99,99,99,99,99,99,99,99,94,94,87,99,98,98,79,90,85,98,97,96,94,94,95,95,96,98,96,96,78,68,87,78,81,80,,
COL,Colombia,Pol3,91,90,91,91,85,88,92,92,93,94,93,89,92,83,83,82,77,75,85,93,94,92,85,84,91,93,90,94,82,53,61,68,44,27,22,16
COM,Comoros (the),Pol3,81,79,82,85,85,82,84,81,75,69,67,73,80,98,70,70,,75,48,60,78,58,70,46,55,94,78,44,73,24,,32,,,,
COG,Congo (the),Pol3,80,90,85,85,90,90,91,89,80,79,65,67,50,41,32,,29,,21,75,47,,60,65,77,94,66,50,57,68,,,,,42,
COK,Cook Islands,Pol3,99,99,98,98,93,99,82,99,99,99,99,99,95,97,90,92,92,93,93,75,93,86,99,87,87,83,89,94,82,82,91,96,47,57,,39
CRI,Costa Rica,Pol3,92,91,95,90,82,96,80,89,89,89,91,90,88,94,92,80,84,85,97,85,84,88,88,91,89,95,86,86,92,87,88,94,86,80,85,86
