cases,cases_population,code
61000,189,AFG
550,19,ALB
30000,75,DZA
5,6.5,AND
93000,370,AGO
7,7.5,ATG
11000,25,ARG
1200,41,ARM
1400,6.0,AUS
650,7.6,AUT
6800,69,AZE
71,18,BHS
250,18,BHR
362000,225,BGD
0,0,BRB
5200,55,BLR
1100,9.4,BEL
90,25,BLZ
6600,60,BEN
1200,155,BTN
1400,37,BIH
8000,356,BWA
84000,41,BRA
1700,24,BGR
9400,52,BFA
14000,122,BDI
720,139,CPV
59000,380,KHM
49000,212,CMR
1800,5.1,CAN
19000,391,CAF
21000,152,TCD
3000,16,CHL
918000,67,CHN
15000,31,COL
270,35,COM
18000,379,COG
2,7.8,COK
530,11,CRI
560,13,HRV
800,7.0,CUB
72,6.2,CYP
550,5.2,CZE
250000,324,COD
340,6.0,DNK
3400,378,DJI
8,11,DMA
6300,60,DOM
8400,52,ECU
13000,15,EGY
2700,43,SLV
1500,172,GNQ
3400,65,ERI
240,18,EST
191000,192,ETH
450,51,FJI
310,5.6,FIN
5300,8.2,FRA
8000,465,GAB
3500,174,GMB
4000,99,GEO
6500,8.1,DEU
44000,160,GHA
490,4.5,GRC
6,5.4,GRD
4200,25,GTM
22000,177,GIN
6900,373,GNB
710,93,GUY
21000,194,HTI
3500,43,HND
920,9.3,HUN
8,2.4,ISL
2840000,217,IND
1020000,395,IDN
16000,43,IRQ
340,7.2,IRL
320,4.0,ISR
3500,5.8,ITA
130,4.6,JAM
21000,17,JPN
530,7.0,JOR
16000,89,KAZ
107000,233,KEN
620,551,KIR
860,22,KWT
8500,144,KGZ
800,41,LVA
750,13,LBN
17000,788,LSO
14000,308,LBR
2500,40,LBY
1600,56,LTU
34,6.1,LUX
57000,236,MDG
33000,193,MWI
27000,89,MYS
190,53,MDV
10000,57,MLI
37,8.8,MLT
180,344,MHL
4300,107,MRT
280,22,MUS
27000,21,MEX
0,0,MCO
13000,428,MNG
130,21,MNE
37000,107,MAR
154000,551,MOZ
197000,365,MMR
12000,489,NAM
12,113,NRU
44000,156,NPL
980,5.8,NLD
340,7.4,NZL
3100,51,NIC
19000,95,NER
586000,322,NGA
0,8.1,NIU
330,6.3,NOR
380,8.4,OMN
510000,270,PAK
16,76,PLW
2000,50,PAN
33000,432,PNG
2700,41,PRY
37000,119,PER
324000,322,PHL
7200,19,POL
2400,23,PRT
760,34,QAT
16000,84,ROU
6600,56,RWA
3,5.1,KNA
16,8.8,LCA
8,7.4,VCT
22,11,WSM
1,2.5,SMR
180,97,STP
3800,12,SAU
21000,139,SEN
1900,21,SRB
9,9.5,SYC
20000,307,SLE
2500,44,SGP
350,6.5,SVK
150,7.2,SVN
520,89,SLB
30000,274,SOM
454000,834,ZAF
18000,146,SSD
5500,12,ESP
13000,65,LKA
35000,88,SDN
180,33,SUR
7300,565,SWZ
900,9.2,SWE
610,7.4,CHE
7400,87,TJK
117000,172,THA
5900,498,TLS
3800,52,TGO
16,15,TON
230,17,TTO
4200,37,TUN
14000,18,TUR
3800,70,TKM
23,232,TUV
79000,202,UGA
41000,91,UKR
140,1.6,ARE
1000,30,URY
24000,79,UZB
170,63,VUT
13000,48,YEM
63000,391,ZMB
38000,242,ZWE
