name,code,region,sub-region,population,gdp,unmet-needs
Afganistán,AFG,Asia,Southern Asia,34656032,1739.58317666,
Albania,ALB,Europe,Southern Europe,2876101,11424.6283187,
Argelia,DZA,Africa,Northern Africa,40606052,13974.6662247,
Angola,AGO,Africa,Middle Africa,28813463,6024.72613815,
Argentina,ARG,Americas,South America,43847430,18479.4422106,
Armenia,ARM,Asia,Western Asia,2924816,8174.36673172,18.1
Austria,AUT,Europe,Western Europe,8747358,44143.7001648,
Bangladés,BGD,Asia,Southern Asia,162951560,3319.35355606,
Barbados,BRB,Americas,Caribbean,284996,15588.2689865,19.9
Bélgica,BEL,Europe,Western Europe,11348159,41945.692123,
Belice,BLZ,Americas,Central America,366954,7831.45448606,22.2
Benín,BEN,Africa,Western Africa,10872298,2009.96138386,27.9
Bután,BTN,Asia,Southern Asia,797765,8105.79696748,11.7
Bolivia,BOL,Americas,South America,10887882,6707.95618414,26.6
Bosnia y Herzegovina,BIH,Europe,Southern Europe,3516816,11179.3499097,
Botsuana,BWA,Africa,Southern Africa,2250260,15513.4419328,9.6
Brasil,BRA,Americas,South America,207652865,14023.6916227,6
Bulgaria,BGR,Europe,Eastern Europe,7127822,17709.075186,
Burkina Faso,BFA,Africa,Western Africa,18646433,1594.57677663,29.3
Burundi,BDI,Africa,Eastern Africa,10524117,721.176561507,
Camboya,KHM,Asia,South-Eastern Asia,15762370,3462.84094868,12.5
Camerún,CMR,Africa,Middle Africa,23439189,3045.91916487,20.5
Canadá,CAN,Americas,Northern America,36286425,43087.7573654,
Cabo Verde,CPV,Africa,Western Africa,539560,6074.7545477,16.7
República Centroafricana,CAF,Africa,Middle Africa,4594621,647.880444824,
Chad,TCD,Africa,Middle Africa,14452543,1845.91467919,
Chile,CHL,Americas,South America,17909754,22706.720537,
China,CHN,Asia,Eastern Asia,1378665000,14400.8860587,
Colombia,COL,Americas,South America,48653419,13124.3248436,8
Comoras,COM,Africa,Eastern Africa,795601,1411.15233854,31.6
República Democrática del Congo,COD,Africa,Middle Africa,78736153,742.307904932,
Costa Rica,CRI,Americas,Central America,4857274,15401.4925047,7.6
Costa de Marfil,CIV,Africa,Western Africa,23695919,3448.14401279,30.4
Cuba,CUB,Americas,Caribbean,11475982,,
