code,survey,estimated
LKA,7.3,7.4
SLB,11.1,21
LBY,27,19.7
PNG,27.4,25
BWA,9.6,14.3
PRY,4.7,7.3
CZE,4.3,7.8
BOL,20.1,18
MDV,28.6,24.1
ALB,12.9,13.9
JAM,10,10.3
MDG,19,18.7
BTN,11.7,12
SSD,26.3,30.3
COL,8,8.3
SUR,16.9,19
SYR,16.4,14.8
GEO,12.3,16.2
TLS,31.5,26.1
ERI,27.4,29.7
IRN,5.7,6.3
IRQ,8,13.4
CAF,27,23.5
MAR,10.9,9.9
CRI,7.6,5.7
GNQ,33.8,32.4
MOZ,28.5,27
MKD,17.2,16.7
RUS,8,10.1
GIN,23.7,24.5
CIV,22.2,24.1
GAB,26.5,25.6
LAO,19.9,17.4
BRB,19.9,15.6
BLR,7,9.7
NIC,5.8,6.2
LCA,17,16
BIH,9,15.7
MDA,9.5,11.9
TUN,7,9.5
QAT,12.4,17.8
TON,25.2,28.5
HTI,35.3,31.9
HND,10.7,10.8
UKR,4.9,9.8
JOR,11.7,11.9
ECU,8.8,6.5
THA,6.9,5.6
TJK,22.9,21.5
COM,31.6,30.8
LBR,31.1,31.5
NAM,17.5,16.5
PAN,16.4,16.5
PAK,20.1,20.4
BRA,6,7
DZA,7,10.2
GMB,24.9,25.5
PHL,17.5,17.6
YEM,28.7,26.7
TUR,5.9,6.3
MNG,16,13.9
VUT,24.2,22.9
SLE,25,26.6
MNE,21.8,21.4
GNB,22.3,21.6
WSM,34.8,43.8
ZMB,21.1,19.5
CUB,8,8.6
PER,8.6,9
KHM,12.5,12.9
DOM,11.4,10.9
EGY,12.6,12.1
MUS,12.5,10.7
SRB,14.9,12.3
PSE,10.9,13
SWZ,15.2,15.2
BGD,12,11.8
LSO,18.4,17.5
PRK,7,7.9
STP,33.7,32.2
CMR,18,21.3
GUY,28,28.5
SLV,11,11.6
COD,27.7,27.4
TGO,33.6,33.6
BEN,33.1,30.7
SDN,26.6,28.4
MRT,33.6,31.2
SEN,25.2,25.2
KEN,15.9,15.1
IDN,14.4,12.2
BLZ,22.2,19.2
COG,17.9,19.6
GTM,14.1,14.5
ZWE,10.4,10.4
MEX,13,10.5
MLI,15.8,25.9
RWA,18.9,18.5
TCD,22.9,23.1
NGA,28.9,22.5
ETH,24,24.3
BFA,29.3,27
TZA,22.1,22.1
TKM,12.1,14.8
AGO,38,37
ARM,12.5,12.6
MMR,16.2,16.2
IND,12.9,12.9
MWI,18.7,18.4
GHA,32.3,28.3
AFG,24.5,24.5
NER,23.9,18.4
UGA,30.5,31.2
ATG,,13.4
ARG,,9.4
AUS,,11
AUT,,10.3
AZE,,14
BHS,,11.7
BHR,,11.6
BEL,,6.6
BGR,,13.6
BDI,,26.4
CPV,,14.5
CAN,,7.2
CHL,,13.2
CHN,,3.7
HKG,,6.7
HRV,,10.9
DNK,,10.2
DJI,,29.5
EST,,12
FJI,,18.9
FIN,,8
FRA,,4
DEU,,9.5
GRC,,9.5
GRD,,12.7
GUM,,16.2
HUN,,8.5
IRL,,11.2
ISR,,8.8
ITA,,10.6
JPN,,19.9
KAZ,,14.9
KIR,,26.8
KWT,,15.8
KGZ,,16.9
LVA,,12
LBN,,12.9
LTU,,13.1
MYS,,17.8
MLT,,4.7
NPL,,23
NLD,,8.2
NZL,,9.4
NOR,,6.1
OMN,,30.3
POL,,9.7
PRT,,7.5
PRI,,6.7
KOR,,5.6
ROU,,9.7
VCT,,12.4
SAU,,27.2
SGP,,10.9
SVK,,9.1
SVN,,8.2
SOM,,29
ZAF,,11.5
ESP,,11.6
SWE,,9.7
CHE,,7.4
TTO,,18.6
ARE,,18.6
GBR,,5.5
USA,,7
URY,,7.3
UZB,,8.6
VEN,,10.9
VNM,,6.4
