country,deaths,vaccine
AFG,13.5530593478,0
ALB,3.89501095112,0
DZA,6.29966066052,0
AGO,34.597736022,0
ATG,27.7753594734,0
ARG,17.7313860104,1
ARM,12.7524931401,0
AUS,4.94292940907,1
AUT,6.81170838215,1
AZE,8.19029436582,0
BHS,21.0183615207,
BHR,2.21351450765,0
BGD,19.6497725011,0
BRB,24.1709674821,1
BLR,10.7391498327,0
BEL,6.41580976422,1
BLZ,28.6187963174,0
BEN,22.0144707521,0
BTN,13.4369046217,1
BOL,40.4262964124,0
BIH,6.65113262905,0
BWA,25.9210855351,1
BRA,15.925991296,1
BRN,13.2754597177,1
BGR,15.6182930405,0
BFA,35.239564571,0
BDI,76.0685594345,0
KHM,24.348579872,0
CMR,33.6451274839,0
CAN,4.78030915866,1
CPV,35.6701650107,
CAF,29.8564951346,
TCD,27.5085442868,0
CHL,13.1000165917,1
CHN,6.94558199161,0
COL,20.7570889716,1
COM,74.928847898,
COG,23.3265199409,
CRI,13.7974434124,0
CIV,27.5715783032,0
HRV,10.2027943293,0
CUB,15.5094130247,0
CYP,5.57803806185,0
CZE,10.182343739,
PRK,14.921909197,
COD,47.2743640282,
DNK,6.0343073859,1
DJI,21.758523971,0
DOM,26.9278757691,
ECU,25.7019147943,1
EGY,2.00884867916,0
SLV,25.0931767606,0
GNQ,25.9263239106,0
ERI,25.6454941992,0
EST,15.8763228504,0
ETH,32.9698455483,0
FJI,41.8088616491,1
FIN,3.23260049652,1
FRA,6.39636610089,1
GAB,15.4724154724,0
GMB,21.0678479544,
GEO,13.7326702134,0
DEU,6.46237425449,1
GHA,33.1128861726,0
GRC,5.22422117942,1
GRD,52.7201798413,0
GTM,18.5019225516,0
GIN,46.3639772217,0
GNB,34.1269397329,0
GUY,41.5176897805,1
HTI,28.7713062306,0
HND,25.9660936552,0
HUN,16.467625772,1
ISL,1.24528629982,1
IND,23.8557469896,0
IDN,16.1162115409,0
IRN,1.9934883144,0
IRQ,2.57736057423,0
IRL,7.3317039161,1
ISR,7.00471487381,1
ITA,4.95681016644,1
JAM,31.4391197988,0
JPN,8.01873960091,1
JOR,1.51620524768,0
KAZ,27.1072786688,1
KEN,38.1196365065,0
KIR,22.2540917285,0
KWT,1.3389231062,0
KGZ,21.0059574485,0
LAO,14.1738374868,
LVA,17.915583004,1
LBN,3.46550336486,0
LSO,51.7921314476,1
LBR,39.6812910613,0
LBY,7.53717783443,
LTU,21.0736181807,0
LUX,3.20913612559,1
MDG,50.2372669777,0
MWI,86.2366392496,0
MYS,9.13878833926,1
MDV,9.78679010086,0
MLI,57.7815511606,0
MLT,2.28609692424,1
MRT,30.8047195585,0
MUS,16.3136414053,0
MEX,15.6653541334,1
FSM,18.473793456,1
MNG,18.9318899073,0
MNE,12.2532747384,0
MAR,13.7092355178,0
MOZ,92.0319835525,0
MMR,22.6860573503,0
NAM,13.8748586207,0
NPL,27.4036561074,0
NLD,4.94585789331,
NZL,4.42186382631,1
NIC,33.1136325113,0
NER,13.0672802727,
NGA,32.1621004936,0
NOR,7.17176226877,1
OMN,2.90086597888,0
PAK,9.02724721261,0
PAN,20.0556044618,1
PNG,39.3840399008,0
PRY,32.7344016463,1
PER,22.7949867809,1
PHL,17.1327062971,
POL,12.8931999152,0
PRT,9.90067783372,1
QAT,1.65552349818,0
KOR,6.44926635087,
MDA,14.2414356124,
ROU,29.1032698995,0
RUS,15.2624732679,
RWA,46.2989416884,1
LCA,30.4206636885,0
VCT,56.2335979656,0
WSM,14.6098013764,0
STP,37.4916459505,0
SAU,1.630795455,0
SEN,40.4097354843,0
SRB,20.5129135654,0
SYC,27.9495498586,1
SLE,37.0341851362,0
SGP,7.09064542892,1
SVK,14.6832791906,0
SVN,10.9029016515,1
SLB,32.7291739053,0
SOM,37.9771290468,0
ZAF,40.367617588,1
SSD,37.8119192463,0
ESP,5.96996943949,1
LKA,10.2887106145,0
SDN,8.62374600202,
SUR,31.9163311227,1
SWZ,58.00719486,0
SWE,7.24508340054,1
CHE,3.284503273,1
SYR,2.82006119086,
TJK,8.94963849905,0
THA,20.102567282,0
MKD,10.562231382,1
TLS,14.5027507867,0
TGO,14.8441255655,0
TON,3.3233639464,0
TTO,32.306985898,1
TUN,3.55707868307,0
TUR,3.50077054075,0
TKM,10.7312342614,0
UGA,47.7514636953,1
UKR,15.7865336601,0
ARE,3.191603373,
GBR,5.85020659123,
TZA,60.0685379175,
USA,7.39932511789,
URY,16.8153253378,1
UZB,12.7142693673,0
VUT,17.9677787274,0
VEN,30.9062925366,0
VNM,12.7953019504,0
YEM,3.32499048534,0
ZMB,60.303479161,0
ZWE,46.827371461,0
